Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-08-20,1.0,1.0,1.0,1.0,15000
2018-09-17,1.0,1.0,1.0,1.0,7975
2018-10-15,0.9,0.9,0.9,0.9,5533
2019-02-11,0.95,0.95,0.95,0.95,12000
2019-04-08,0.95,0.95,0.95,0.95,0
2019-04-09,0.95,0.95,0.95,0.95,0
2019-04-10,0.95,0.95,0.95,0.95,0
2019-04-11,0.95,0.95,0.95,0.95,0
2019-04-12,0.95,0.95,0.95,0.95,0
2019-04-15,0.95,0.95,0.95,0.95,0
2019-04-16,0.95,0.95,0.95,0.95,0
2019-04-17,0.95,0.95,0.95,0.95,0
2019-04-18,0.95,0.95,0.95,0.95,0
2019-04-23,0.95,0.95,0.95,0.95,0
2019-04-24,0.95,0.95,0.95,0.95,0
2019-04-25,0.95,0.95,0.95,0.95,0
2019-04-26,0.95,0.95,0.95,0.95,0
2019-04-29,0.95,0.95,0.95,0.95,0
2019-04-30,0.95,0.95,0.95,0.95,0
2019-05-02,0.95,0.95,0.95,0.95,0
2019-05-03,0.95,0.95,0.95,0.95,0
2019-05-06,0.95,0.95,0.95,0.95,0
2019-05-07,0.95,0.95,0.95,0.95,0
2019-05-08,0.95,0.95,0.95,0.95,0
2019-05-09,0.95,0.95,0.95,0.95,0
2019-05-10,0.95,0.95,0.95,0.95,0
2019-05-13,0.95,0.95,0.95,0.95,0
2019-05-14,0.95,0.95,0.95,0.95,0
2019-05-15,0.95,0.95,0.95,0.95,0
2019-05-16,0.95,0.95,0.95,0.95,0
2019-05-17,0.95,0.95,0.95,0.95,0
2019-05-20,1.0,1.0,1.0,,13580
2019-05-21,1.0,1.0,1.0,1.0,0
2019-05-22,1.0,1.0,1.0,1.0,0
2019-05-23,1.0,1.0,1.0,1.0,0
2019-05-24,1.0,1.0,1.0,1.0,0
2019-05-27,1.0,1.0,1.0,1.0,0
2019-05-28,1.0,1.0,1.0,1.0,0
2019-05-29,1.0,1.0,1.0,1.0,0
2019-05-31,1.0,1.0,1.0,1.0,0
2019-06-03,1.0,1.0,1.0,1.0,0
2019-06-04,1.0,1.0,1.0,1.0,0
2019-06-05,1.0,1.0,1.0,1.0,0
