Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2017-12-13,29.0,29.0,29.0,29.0,0
2018-04-30,29.0,29.0,29.0,29.0,0
2018-05-09,29.0,29.0,29.0,29.0,0
2018-06-06,30.8,30.8,30.8,30.8,100
2018-06-07,30.8,30.8,30.8,30.8,0
2018-06-08,30.8,30.8,30.8,30.8,0
2018-06-11,30.8,30.8,30.8,30.8,0
2018-06-12,30.8,30.8,30.8,30.8,0
2018-06-13,30.8,30.8,30.8,30.8,0
2018-06-14,30.8,30.8,30.8,30.8,0
2018-06-15,30.8,30.8,30.8,30.8,0
2018-06-18,30.8,30.8,30.8,30.8,0
2018-06-19,30.8,30.8,30.8,30.8,0
2018-06-20,30.4,30.4,30.4,30.4,3
2018-06-21,30.4,30.4,30.4,30.4,6
2018-06-22,30.4,30.4,30.4,30.4,0
2018-06-25,25.2,25.2,25.2,25.2,20
2018-06-26,26.0,25.2,26.0,25.2,15
2018-06-27,26.0,26.0,26.0,26.0,0
2018-06-28,26.0,26.0,26.0,26.0,0
2018-06-29,27.0,27.0,27.0,27.0,330
2018-07-02,27.0,27.0,27.0,27.0,20
2018-07-03,27.0,27.0,27.0,27.0,0
2018-07-04,27.0,27.0,27.0,27.0,0
2018-07-05,27.0,27.0,27.0,27.0,0
2018-07-06,27.0,27.0,27.0,27.0,0
2018-07-09,27.0,27.0,27.0,27.0,0
2018-07-10,31.0,31.0,31.0,31.0,1
2018-07-11,31.0,31.0,31.0,31.0,0
2018-07-12,31.0,31.0,31.0,31.0,0
2018-07-13,31.0,31.0,31.0,31.0,0
2018-07-16,31.0,31.0,31.0,31.0,0
2018-07-17,31.0,29.8,29.8,31.0,143
2018-07-18,29.8,29.8,29.8,29.8,0
2018-07-19,29.8,29.8,29.8,29.8,9
2018-07-20,29.8,29.8,29.8,29.8,0
2018-07-23,29.8,29.8,29.8,29.8,0
2018-07-24,29.8,29.8,29.8,29.8,0
2018-07-25,29.0,28.0,28.0,29.0,663
2018-07-26,28.0,28.0,28.0,28.0,0
2018-07-27,28.0,28.0,28.0,28.0,0
2018-07-30,28.0,28.0,28.0,28.0,0
2018-07-31,28.0,28.0,28.0,28.0,0
2018-08-01,28.0,28.0,28.0,28.0,0
2018-08-02,28.0,28.0,28.0,28.0,0
2018-08-03,28.0,28.0,28.0,28.0,0
2018-08-06,28.0,28.0,28.0,28.0,0
2018-08-07,28.0,28.0,28.0,28.0,0
2018-08-08,28.0,28.0,28.0,28.0,0
2018-08-09,28.0,28.0,28.0,28.0,0
2018-08-10,28.0,28.0,28.0,28.0,0
2018-08-13,28.0,28.0,28.0,28.0,0
2018-08-14,28.0,28.0,28.0,28.0,0
2018-08-15,28.0,28.0,28.0,28.0,0
2018-08-16,28.0,28.0,28.0,28.0,0
2018-08-17,28.0,28.0,28.0,28.0,0
2018-08-20,28.0,28.0,28.0,28.0,0
2018-08-21,28.0,28.0,28.0,28.0,0
2018-08-22,28.0,28.0,28.0,28.0,0
2018-08-23,28.0,28.0,28.0,28.0,0
2018-08-24,28.0,28.0,28.0,28.0,0
2018-08-27,28.0,28.0,28.0,28.0,0
2018-08-28,28.0,28.0,28.0,28.0,0
2018-08-29,28.0,28.0,28.0,28.0,0
2018-08-30,28.0,28.0,28.0,28.0,0
2018-08-31,28.0,28.0,28.0,28.0,0
2018-09-03,28.0,28.0,28.0,28.0,0
2018-09-04,28.0,28.0,28.0,28.0,0
2018-09-05,23.0,23.0,23.0,23.0,100
2018-09-06,23.0,23.0,23.0,23.0,0
2018-09-07,23.0,23.0,23.0,23.0,0
2018-09-10,23.0,23.0,23.0,23.0,0
2018-09-11,23.0,23.0,23.0,23.0,0
2018-09-12,24.0,24.0,24.0,24.0,10
2018-09-13,25.0,25.0,25.0,25.0,123
2018-09-14,25.0,25.0,25.0,25.0,0
2018-09-17,25.0,25.0,25.0,25.0,0
2018-09-18,25.0,25.0,25.0,25.0,0
2018-09-19,33.0,33.0,33.0,33.0,10
2018-09-20,32.8,32.8,32.8,32.8,60
2018-09-21,32.8,32.8,32.8,32.8,0
2018-09-24,32.0,31.8,31.8,32.0,364
2018-09-25,31.8,31.8,31.8,31.8,0
2018-09-26,31.8,31.8,31.8,31.8,0
2018-09-27,31.8,31.8,31.8,31.8,0
2018-09-28,31.0,31.0,31.0,31.0,3
2018-10-01,31.0,31.0,31.0,31.0,0
2018-10-02,31.0,30.8,30.8,31.0,30
2018-10-03,30.8,30.8,30.8,30.8,0
2018-10-04,30.8,30.8,30.8,30.8,0
